C:\Users\Roman\Desktop\РНФ по разработке Цитометра\SPI_2019\SFM_Danil_autofluorescence\L929\Live\200mW_L929_live(95%)_autofluorescence_1.daf
single_cells

Object Number	Intensity_MC_Ch02
535	12457,7769230768
537	24687,8474576269
538	17860,954741379
540	30933,5916666672
541	16284,2456896549
542	13475,7500000004
543	30552,55859375
544	27450,4754098372
545	10916,2986111113
546	51275,9539473671
547	14208,3211206902
548	36473,8299999993
549	36754,0769230763
550	23207,6340909097
551	17146,6470588237
552	19697,1049107145
553	22428,4278846151
554	36217,5374999999
555	29224,0980392162
556	22969,9692982458
557	19626,7043650792
558	20457,7451923073
559	22677,8374999993
560	19328,7711864408
561	20523,5037313424
562	15572,2931034485
563	55564,6458333347
564	47738,3479166657
565	75045,4079861137
566	18621,9875000008
567	21289,6598360668
568	22128,8749999994
569	37227,2048611113
570	25361,1475000009
571	20694,5458333336
572	19337,7961538466
573	20087,3653846149
574	17259,355932204
575	14569,711956522
576	14407,2163461541
577	25003,625
578	22631,0511363639
579	27834,9625000009
580	17509,2881355927
581	26552,3414634145
582	19259,4500000003
583	28178,875
584	49649,6503378371
585	35396,1749999996
586	11897,5999999996
587	10607,8437499996
588	27353,9687500003
589	47406,1062500021
590	20111,3538461543
591	19856,5708955221
592	53887,6346153831
593	42651,5741525424
594	42019,2368421051
595	64643,164179109
596	23056,7644230775
597	106527,678082188
598	30011,0546875
599	25199
600	21269,0603448273
601	44615,40625
602	26200,4471153836
603	23936,1906779658
604	27740,9117647052
605	24248,169921875
606	21517,5104166676
607	28664,0692771092
608	13735,0687499996
609	101509,796875002
610	25779,8620689657
611	9390,65086206889
613	59140,9538461525
614	32793,2767857148
616	59022,9886363649
617	18235,2559523805
618	9047,82386363617
619	20337,0183823524
620	39845,2816901422
621	19145,9299999997
622	18627,4210526311
623	27683,127049181
624	15267,3677884614
625	29419,6666666663
626	19689,302083333
627	36063,1996753227
628	16942,0961538461
629	43787,7435897423
630	30077,0876865665
631	23883,9533898311
632	22206,7412280706
633	24048,1604166664
635	16832,4307692301
636	25028,4230769224
638	59670,3787313459
639	14610,7866379315
641	27110,6969696968
642	59886,0000000035
643	22416,7878787885
644	23434,5461538474
645	13023,7171052635
646	10753,2543103445
647	13727,8541666663
648	30294,4624999991
649	15779,0614035085
650	54796,798780487
651	37545,0485074633
652	13011,7647058827
653	57095,1999999981
654	7668,07089552247
655	11149,34375
656	29534,2500000013
657	27693,5384615379
658	11271,03125
659	29237,8208955216
660	12569,6052631582
661	23696,5931818171
662	14814,5813953486
664	13505,2121212114
665	37978,2153846155
666	69688,0749999996
667	39535,3541666653
668	10710,6499999998
669	70842,1999999977
670	32271,734375
671	30681,9749999992
672	34469,9086538467
673	53946,9007352899
674	33372,2916666664
675	19281,484375
676	13798,5304878047
677	27043,4375
678	8599,6875
679	19516,6985294113
680	9975,53181818201
681	14416,2954545453
682	24044,21875
683	24241,3557692301
684	16401,6833333335
685	32658,6828358197
686	25584,5
687	26264,7874999991
689	40842,9176136357
690	25864,5048076931
691	19456,9632352951
693	14384,25
694	30912,1940789466
695	12495,4471153847
696	19607,2758620692
697	29322,1483050863
698	15292,8653846157
699	7010,80555555543
700	22881,2764423084
701	45093,1634615371
702	24358,0504807696
703	18588,6083333331
704	40666,593750001
705	31522,0729166675
706	17225,8474576276
707	36759,1875000019
708	20847,9215686275
709	16193,25
710	54579,3972602768
711	64907,8819444419
712	34553,1076923069
713	18730,6062500005
714	13205,3048245615
715	17778,9125000004
716	51489,1346153837
717	16577,2073170731
718	19671,4325396829
719	18237,8306451618
720	15219,3999999998
721	19995,2191558451
722	56426,8508064532
723	20767,7500000005
724	22399,1465517248
725	21027,03219697
726	15833,8100961535
727	13546,7142857139
729	36032,6647727272
730	21177,6009615389
731	28982,5562500008
732	16117,522959184
733	32692,9152542386
734	17897,6105769234
735	54022,104477614
736	15532,2000000003
737	19289,8401639337
738	26416,4237288128
739	14059,2764423078
740	19023,6030701753
741	47874,2403846162
742	46493,5185185163
743	34241,8904109569
744	20342,3124999994
745	28718,2711538471
746	29209,5884615382
747	17626,8782051285
748	24943,4124999998
749	23255,0816326521
750	9777,70052083324
751	31427,33984375
752	14333,2019230768
753	24178,2112068964
754	28543,2499999991
755	10263,1842105261
756	11516,3421052629
757	8992,30487804861
758	17215,75
759	23728,6076923069
760	14013,3125000003
761	35666,65625
762	19105,9395161279
763	44281,8630136978
764	36678,6716417903
765	35012,9436619711
766	22208,555555555
767	22504,8022388058
768	21279,611328125
769	31209,9999999988
770	19119,2584745762
771	28358,3557692302
772	18785,3365384613
773	18032,6810344829
774	8817,91803278706
775	15616,6947115381
776	67859,8403846171
777	43130,3771929814
779	29549,503424658
780	29293,3843283594
781	19363,0000000004
782	31765,9797794106
783	15318,5681818177
784	52822,8219178107
785	18908,4642857135
786	51528,9708904086
787	28574,8461538466
788	11391,5336538463
789	18770,6045454546
790	26708,2791666663
791	19938,9879807698
792	16537,2727272723
793	32884,8599137933
794	53430,7327586216
795	13839,0548245616
796	37252,8848684229
797	51919,5833333351
798	27443,141949152
799	19697,0581896553
800	33812,9302884626
801	27621,1874999993
802	18595,875
803	22223,1716101696
804	15280,6350806453
805	21950,765625
806	11778,1120689651
807	18964,8608870969
